Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario69_min64_mx10_res50_q5_ord1;O2;64;12000;50;1;0.99;0.77;0.34
cenario70_min64_mx10_res50_q5_ord2;O2;64;12000;50;2;0.98;0.84;0.29
cenario71_min64_mx10_res50_q10_ord1;O2;64;12000;50;1;0.99;0.77;0.47
cenario72_min64_mx10_res50_q10_ord2;O2;64;12000;50;2;0.98;0.84;0.42
cenario73_min128_mx4_res30_q5_ord1;O2;128;30000;30;1;0.99;0.68;0.35
cenario74_min128_mx4_res30_q5_ord2;O2;128;30000;30;2;0.99;0.74;0.3
cenario75_min128_mx4_res30_q10_ord1;O2;128;30000;30;1;0.99;0.68;0.46
cenario76_min128_mx4_res30_q10_ord2;O2;128;30000;30;2;0.99;0.74;0.41
cenario77_min128_mx4_res50_q5_ord1;O2;128;30000;50;1;0.99;0.68;0.37
cenario78_min128_mx4_res50_q5_ord2;O2;128;30000;50;2;0.99;0.74;0.31
cenario79_min128_mx4_res50_q10_ord1;O2;128;30000;50;1;0.99;0.68;0.48
cenario80_min128_mx4_res50_q10_ord2;O2;128;30000;50;2;0.99;0.74;0.43
cenario81_min128_mx8_res30_q5_ord1;O2;128;15000;30;1;0.99;0.72;0.28
cenario82_min128_mx8_res30_q5_ord2;O2;128;15000;30;2;0.99;0.77;0.3
cenario83_min128_mx8_res30_q10_ord1;O2;128;15000;30;1;0.99;0.72;0.39
cenario84_min128_mx8_res30_q10_ord2;O2;128;15000;30;2;0.99;0.77;0.42
cenario85_min128_mx8_res50_q5_ord1;O2;128;15000;50;1;0.99;0.71;0.35
cenario86_min128_mx8_res50_q5_ord2;O2;128;15000;50;2;0.99;0.77;0.28
cenario87_min128_mx8_res50_q10_ord1;O2;128;15000;50;1;0.99;0.71;0.45
cenario88_min128_mx8_res50_q10_ord2;O2;128;15000;50;2;0.99;0.77;0.39
cenario89_min128_mx10_res30_q5_ord1;O2;128;12000;30;1;0.99;0.72;0.31
cenario90_min128_mx10_res30_q5_ord2;O2;128;12000;30;2;0.99;0.76;0.32
cenario91_min128_mx10_res30_q10_ord1;O2;128;12000;30;1;0.99;0.72;0.44
cenario92_min128_mx10_res30_q10_ord2;O2;128;12000;30;2;0.99;0.76;0.46
cenario93_min128_mx10_res50_q5_ord1;O2;128;12000;50;1;0.99;0.72;0.35
cenario94_min128_mx10_res50_q5_ord2;O2;128;12000;50;2;0.99;0.77;0.3
cenario95_min128_mx10_res50_q10_ord1;O2;128;12000;50;1;0.99;0.72;0.46
cenario96_min128_mx10_res50_q10_ord2;O2;128;12000;50;2;0.99;0.77;0.43
cenario01_min16_mx4_res30_q5_ord1;Fp2;16;30000;30;1;0.98;0.79;0.39
cenario02_min16_mx4_res30_q5_ord2;Fp2;16;30000;30;2;0.98;0.85;0.3
cenario03_min16_mx4_res30_q10_ord1;Fp2;16;30000;30;1;0.97;0.79;0.52
cenario04_min16_mx4_res30_q10_ord2;Fp2;16;30000;30;2;0.97;0.85;0.44
cenario05_min16_mx4_res50_q5_ord1;Fp2;16;30000;50;1;0.98;0.79;0.35
cenario06_min16_mx4_res50_q5_ord2;Fp2;16;30000;50;2;0.98;0.85;0.29
cenario07_min16_mx4_res50_q10_ord1;Fp2;16;30000;50;1;0.97;0.79;0.48
cenario08_min16_mx4_res50_q10_ord2;Fp2;16;30000;50;2;0.97;0.85;0.41
cenario09_min16_mx8_res30_q5_ord1;Fp2;16;15000;30;1;0.98;0.82;0.37
cenario10_min16_mx8_res30_q5_ord2;Fp2;16;15000;30;2;0.98;0.88;0.27
cenario11_min16_mx8_res30_q10_ord1;Fp2;16;15000;30;1;0.97;0.82;0.51
cenario12_min16_mx8_res30_q10_ord2;Fp2;16;15000;30;2;0.97;0.88;0.39
cenario13_min16_mx8_res50_q5_ord1;Fp2;16;15000;50;1;0.98;0.82;0.38
cenario14_min16_mx8_res50_q5_ord2;Fp2;16;15000;50;2;0.98;0.89;0.26
cenario15_min16_mx8_res50_q10_ord1;Fp2;16;15000;50;1;0.97;0.82;0.51
cenario16_min16_mx8_res50_q10_ord2;Fp2;16;15000;50;2;0.96;0.89;0.39
cenario17_min16_mx10_res30_q5_ord1;Fp2;16;12000;30;1;0.98;0.83;0.38
cenario18_min16_mx10_res30_q5_ord2;Fp2;16;12000;30;2;0.98;0.89;0.26
cenario19_min16_mx10_res30_q10_ord1;Fp2;16;12000;30;1;0.97;0.83;0.51
cenario20_min16_mx10_res30_q10_ord2;Fp2;16;12000;30;2;0.97;0.89;0.37
cenario21_min16_mx10_res50_q5_ord1;Fp2;16;12000;50;1;0.98;0.83;0.39
cenario22_min16_mx10_res50_q5_ord2;Fp2;16;12000;50;2;0.98;0.9;0.27
cenario23_min16_mx10_res50_q10_ord1;Fp2;16;12000;50;1;0.97;0.83;0.53
cenario24_min16_mx10_res50_q10_ord2;Fp2;16;12000;50;2;0.97;0.9;0.41
cenario25_min32_mx4_res30_q5_ord1;Fp2;32;30000;30;1;0.99;0.74;0.41
cenario26_min32_mx4_res30_q5_ord2;Fp2;32;30000;30;2;0.98;0.81;0.31
cenario27_min32_mx4_res30_q10_ord1;Fp2;32;30000;30;1;0.98;0.74;0.51
cenario28_min32_mx4_res30_q10_ord2;Fp2;32;30000;30;2;0.97;0.81;0.42
cenario29_min32_mx4_res50_q5_ord1;Fp2;32;30000;50;1;0.98;0.74;0.39
cenario30_min32_mx4_res50_q5_ord2;Fp2;32;30000;50;2;0.98;0.81;0.34
cenario31_min32_mx4_res50_q10_ord1;Fp2;32;30000;50;1;0.98;0.74;0.51
cenario32_min32_mx4_res50_q10_ord2;Fp2;32;30000;50;2;0.97;0.81;0.46
cenario33_min32_mx8_res30_q5_ord1;Fp2;32;15000;30;1;0.99;0.78;0.39
cenario34_min32_mx8_res30_q5_ord2;Fp2;32;15000;30;2;0.98;0.84;0.31
cenario35_min32_mx8_res30_q10_ord1;Fp2;32;15000;30;1;0.98;0.78;0.5
cenario36_min32_mx8_res30_q10_ord2;Fp2;32;15000;30;2;0.97;0.84;0.43
cenario37_min32_mx8_res50_q5_ord1;Fp2;32;15000;50;1;0.99;0.77;0.41
cenario38_min32_mx8_res50_q5_ord2;Fp2;32;15000;50;2;0.98;0.83;0.3
cenario39_min32_mx8_res50_q10_ord1;Fp2;32;15000;50;1;0.98;0.77;0.52
cenario40_min32_mx8_res50_q10_ord2;Fp2;32;15000;50;2;0.97;0.83;0.44
cenario41_min32_mx10_res30_q5_ord1;Fp2;32;12000;30;1;0.99;0.78;0.4
cenario42_min32_mx10_res30_q5_ord2;Fp2;32;12000;30;2;0.98;0.84;0.33
cenario43_min32_mx10_res30_q10_ord1;Fp2;32;12000;30;1;0.98;0.78;0.52
cenario44_min32_mx10_res30_q10_ord2;Fp2;32;12000;30;2;0.97;0.84;0.45
cenario45_min32_mx10_res50_q5_ord1;Fp2;32;12000;50;1;0.99;0.78;0.4
cenario46_min32_mx10_res50_q5_ord2;Fp2;32;12000;50;2;0.98;0.84;0.32
cenario47_min32_mx10_res50_q10_ord1;Fp2;32;12000;50;1;0.98;0.78;0.52
cenario48_min32_mx10_res50_q10_ord2;Fp2;32;12000;50;2;0.97;0.84;0.45
cenario49_min64_mx4_res30_q5_ord1;Fp2;64;30000;30;1;0.99;0.71;0.44
cenario50_min64_mx4_res30_q5_ord2;Fp2;64;30000;30;2;0.99;0.76;0.38
cenario51_min64_mx4_res30_q10_ord1;Fp2;64;30000;30;1;0.98;0.71;0.57
cenario52_min64_mx4_res30_q10_ord2;Fp2;64;30000;30;2;0.98;0.76;0.51
cenario53_min64_mx4_res50_q5_ord1;Fp2;64;30000;50;1;0.99;0.7;0.44
cenario54_min64_mx4_res50_q5_ord2;Fp2;64;30000;50;2;0.99;0.76;0.39
cenario55_min64_mx4_res50_q10_ord1;Fp2;64;30000;50;1;0.98;0.7;0.56
cenario56_min64_mx4_res50_q10_ord2;Fp2;64;30000;50;2;0.98;0.76;0.51
cenario57_min64_mx8_res30_q5_ord1;Fp2;64;15000;30;1;0.99;0.74;0.44
cenario58_min64_mx8_res30_q5_ord2;Fp2;64;15000;30;2;0.98;0.78;0.42
cenario59_min64_mx8_res30_q10_ord1;Fp2;64;15000;30;1;0.99;0.74;0.55
cenario60_min64_mx8_res30_q10_ord2;Fp2;64;15000;30;2;0.98;0.78;0.54
cenario61_min64_mx8_res50_q5_ord1;Fp2;64;15000;50;1;0.99;0.73;0.45
cenario62_min64_mx8_res50_q5_ord2;Fp2;64;15000;50;2;0.99;0.78;0.38
cenario63_min64_mx8_res50_q10_ord1;Fp2;64;15000;50;1;0.98;0.73;0.55
cenario64_min64_mx8_res50_q10_ord2;Fp2;64;15000;50;2;0.98;0.78;0.51
cenario65_min64_mx10_res30_q5_ord1;Fp2;64;12000;30;1;0.99;0.74;0.48
cenario66_min64_mx10_res30_q5_ord2;Fp2;64;12000;30;2;0.99;0.79;0.41
cenario67_min64_mx10_res30_q10_ord1;Fp2;64;12000;30;1;0.98;0.74;0.59
cenario68_min64_mx10_res30_q10_ord2;Fp2;64;12000;30;2;0.98;0.79;0.53
cenario69_min64_mx10_res50_q5_ord1;Fp2;64;12000;50;1;0.99;0.73;0.47
cenario70_min64_mx10_res50_q5_ord2;Fp2;64;12000;50;2;0.99;0.79;0.38
cenario71_min64_mx10_res50_q10_ord1;Fp2;64;12000;50;1;0.98;0.73;0.58
cenario72_min64_mx10_res50_q10_ord2;Fp2;64;12000;50;2;0.98;0.79;0.5
cenario73_min128_mx4_res30_q5_ord1;Fp2;128;30000;30;1;0.99;0.66;0.46
cenario74_min128_mx4_res30_q5_ord2;Fp2;128;30000;30;2;0.99;0.72;0.39
cenario75_min128_mx4_res30_q10_ord1;Fp2;128;30000;30;1;0.98;0.66;0.57
cenario76_min128_mx4_res30_q10_ord2;Fp2;128;30000;30;2;0.99;0.72;0.5
cenario77_min128_mx4_res50_q5_ord1;Fp2;128;30000;50;1;0.99;0.67;0.46
cenario78_min128_mx4_res50_q5_ord2;Fp2;128;30000;50;2;0.99;0.72;0.39
cenario79_min128_mx4_res50_q10_ord1;Fp2;128;30000;50;1;0.99;0.67;0.57
cenario80_min128_mx4_res50_q10_ord2;Fp2;128;30000;50;2;0.98;0.72;0.51
cenario81_min128_mx8_res30_q5_ord1;Fp2;128;15000;30;1;0.99;0.7;0.47
cenario82_min128_mx8_res30_q5_ord2;Fp2;128;15000;30;2;0.99;0.73;0.43
cenario83_min128_mx8_res30_q10_ord1;Fp2;128;15000;30;1;0.99;0.7;0.59
cenario84_min128_mx8_res30_q10_ord2;Fp2;128;15000;30;2;0.98;0.73;0.57
cenario85_min128_mx8_res50_q5_ord1;Fp2;128;15000;50;1;0.99;0.7;0.48
cenario86_min128_mx8_res50_q5_ord2;Fp2;128;15000;50;2;0.99;0.73;0.45
cenario87_min128_mx8_res50_q10_ord1;Fp2;128;15000;50;1;0.98;0.7;0.58
cenario88_min128_mx8_res50_q10_ord2;Fp2;128;15000;50;2;0.98;0.73;0.55
cenario89_min128_mx10_res30_q5_ord1;Fp2;128;12000;30;1;0.99;0.7;0.49
cenario90_min128_mx10_res30_q5_ord2;Fp2;128;12000;30;2;0.99;0.75;0.47
cenario91_min128_mx10_res30_q10_ord1;Fp2;128;12000;30;1;0.98;0.7;0.61
cenario92_min128_mx10_res30_q10_ord2;Fp2;128;12000;30;2;0.98;0.75;0.58
cenario93_min128_mx10_res50_q5_ord1;Fp2;128;12000;50;1;0.99;0.69;0.5
cenario94_min128_mx10_res50_q5_ord2;Fp2;128;12000;50;2;0.99;0.74;0.44
cenario95_min128_mx10_res50_q10_ord1;Fp2;128;12000;50;1;0.98;0.69;0.61
cenario96_min128_mx10_res50_q10_ord2;Fp2;128;12000;50;2;0.98;0.74;0.56
