Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario69_min64_mx10_res50_q5_ord1;O2;64;12000;50;1;0.97;0.68;0.5
cenario70_min64_mx10_res50_q5_ord2;O2;64;12000;50;2;0.94;0.76;0.57
cenario71_min64_mx10_res50_q10_ord1;O2;64;12000;50;1;0.96;0.68;0.64
cenario72_min64_mx10_res50_q10_ord2;O2;64;12000;50;2;0.93;0.76;0.67
cenario73_min128_mx4_res30_q5_ord1;O2;128;30000;30;1;0.99;0.62;0.36
cenario74_min128_mx4_res30_q5_ord2;O2;128;30000;30;2;0.98;0.66;0.33
cenario75_min128_mx4_res30_q10_ord1;O2;128;30000;30;1;0.98;0.62;0.54
cenario76_min128_mx4_res30_q10_ord2;O2;128;30000;30;2;0.97;0.66;0.46
cenario77_min128_mx4_res50_q5_ord1;O2;128;30000;50;1;0.99;0.62;0.31
cenario78_min128_mx4_res50_q5_ord2;O2;128;30000;50;2;0.99;0.65;0.31
cenario79_min128_mx4_res50_q10_ord1;O2;128;30000;50;1;0.99;0.62;0.48
cenario80_min128_mx4_res50_q10_ord2;O2;128;30000;50;2;0.98;0.65;0.45
cenario81_min128_mx8_res30_q5_ord1;O2;128;15000;30;1;0.99;0.63;0.38
cenario82_min128_mx8_res30_q5_ord2;O2;128;15000;30;2;0.98;0.66;0.36
cenario83_min128_mx8_res30_q10_ord1;O2;128;15000;30;1;0.98;0.63;0.55
cenario84_min128_mx8_res30_q10_ord2;O2;128;15000;30;2;0.97;0.66;0.5
cenario85_min128_mx8_res50_q5_ord1;O2;128;15000;50;1;0.99;0.63;0.38
cenario86_min128_mx8_res50_q5_ord2;O2;128;15000;50;2;0.98;0.66;0.36
cenario87_min128_mx8_res50_q10_ord1;O2;128;15000;50;1;0.98;0.63;0.55
cenario88_min128_mx8_res50_q10_ord2;O2;128;15000;50;2;0.97;0.66;0.49
cenario89_min128_mx10_res30_q5_ord1;O2;128;12000;30;1;0.99;0.63;0.39
cenario90_min128_mx10_res30_q5_ord2;O2;128;12000;30;2;0.98;0.67;0.38
cenario91_min128_mx10_res30_q10_ord1;O2;128;12000;30;1;0.98;0.63;0.56
cenario92_min128_mx10_res30_q10_ord2;O2;128;12000;30;2;0.96;0.67;0.52
cenario93_min128_mx10_res50_q5_ord1;O2;128;12000;50;1;0.99;0.63;0.35
cenario94_min128_mx10_res50_q5_ord2;O2;128;12000;50;2;0.98;0.67;0.41
cenario95_min128_mx10_res50_q10_ord1;O2;128;12000;50;1;0.98;0.63;0.53
cenario96_min128_mx10_res50_q10_ord2;O2;128;12000;50;2;0.97;0.67;0.55
cenario01_min16_mx4_res30_q5_ord1;T4;16;30000;30;1;0.93;0.82;0.62
cenario02_min16_mx4_res30_q5_ord2;T4;16;30000;30;2;0.88;1.0;0.94
cenario03_min16_mx4_res30_q10_ord1;T4;16;30000;30;1;0.92;0.82;0.69
cenario04_min16_mx4_res30_q10_ord2;T4;16;30000;30;2;0.88;1.0;0.99
cenario05_min16_mx4_res50_q5_ord1;T4;16;30000;50;1;0.93;0.82;0.61
cenario06_min16_mx4_res50_q5_ord2;T4;16;30000;50;2;0.89;1.0;0.93
cenario07_min16_mx4_res50_q10_ord1;T4;16;30000;50;1;0.92;0.82;0.69
cenario08_min16_mx4_res50_q10_ord2;T4;16;30000;50;2;0.88;1.0;0.98
cenario09_min16_mx8_res30_q5_ord1;T4;16;15000;30;1;0.94;0.87;0.68
cenario10_min16_mx8_res30_q5_ord2;T4;16;15000;30;2;0.89;1.07;1.06
cenario11_min16_mx8_res30_q10_ord1;T4;16;15000;30;1;0.93;0.87;0.75
cenario12_min16_mx8_res30_q10_ord2;T4;16;15000;30;2;0.89;1.07;1.1
cenario13_min16_mx8_res50_q5_ord1;T4;16;15000;50;1;0.93;0.87;0.68
cenario14_min16_mx8_res50_q5_ord2;T4;16;15000;50;2;0.89;1.07;1.0
cenario15_min16_mx8_res50_q10_ord1;T4;16;15000;50;1;0.92;0.87;0.74
cenario16_min16_mx8_res50_q10_ord2;T4;16;15000;50;2;0.89;1.07;1.05
cenario17_min16_mx10_res30_q5_ord1;T4;16;12000;30;1;0.94;0.88;0.65
cenario18_min16_mx10_res30_q5_ord2;T4;16;12000;30;2;0.89;1.1;1.06
cenario19_min16_mx10_res30_q10_ord1;T4;16;12000;30;1;0.93;0.88;0.71
cenario20_min16_mx10_res30_q10_ord2;T4;16;12000;30;2;0.89;1.1;1.1
cenario21_min16_mx10_res50_q5_ord1;T4;16;12000;50;1;0.93;0.88;0.73
cenario22_min16_mx10_res50_q5_ord2;T4;16;12000;50;2;0.9;1.1;1.07
cenario23_min16_mx10_res50_q10_ord1;T4;16;12000;50;1;0.92;0.88;0.79
cenario24_min16_mx10_res50_q10_ord2;T4;16;12000;50;2;0.89;1.1;1.11
cenario25_min32_mx4_res30_q5_ord1;T4;32;30000;30;1;0.95;0.74;0.53
cenario26_min32_mx4_res30_q5_ord2;T4;32;30000;30;2;0.91;0.86;0.76
cenario27_min32_mx4_res30_q10_ord1;T4;32;30000;30;1;0.94;0.74;0.62
cenario28_min32_mx4_res30_q10_ord2;T4;32;30000;30;2;0.89;0.86;0.83
cenario29_min32_mx4_res50_q5_ord1;T4;32;30000;50;1;0.95;0.74;0.53
cenario30_min32_mx4_res50_q5_ord2;T4;32;30000;50;2;0.91;0.86;0.79
cenario31_min32_mx4_res50_q10_ord1;T4;32;30000;50;1;0.94;0.74;0.62
cenario32_min32_mx4_res50_q10_ord2;T4;32;30000;50;2;0.89;0.86;0.86
