Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario01_min16_mx4_res30_q5_ord1;O2;-5.0;1.19;-6.94;1.38;0.04;0.89
cenario01_min16_mx4_res30_q5_ord1;O2;-4.5;1.17;-6.25;1.37;0.07;0.89
cenario01_min16_mx4_res30_q5_ord1;O2;-4.0;1.14;-5.57;1.36;0.13;0.9
cenario01_min16_mx4_res30_q5_ord1;O2;-3.5;1.11;-4.89;1.34;0.22;0.9
cenario01_min16_mx4_res30_q5_ord1;O2;-3.0;1.08;-4.23;1.3;0.34;0.9
cenario01_min16_mx4_res30_q5_ord1;O2;-2.5;1.04;-3.59;1.24;0.49;0.91
cenario01_min16_mx4_res30_q5_ord1;O2;-2.0;1.0;-2.99;1.16;0.67;0.92
cenario01_min16_mx4_res30_q5_ord1;O2;-1.5;0.96;-2.43;1.07;0.83;0.93
cenario01_min16_mx4_res30_q5_ord1;O2;-1.0;0.92;-1.92;0.99;0.93;0.94
cenario01_min16_mx4_res30_q5_ord1;O2;-0.5;0.89;-1.45;0.92;0.98;0.94
cenario01_min16_mx4_res30_q5_ord1;O2;0.5;0.85;-0.58;0.83;0.99;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;1.0;0.83;-0.17;0.8;0.97;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;1.5;0.82;0.23;0.78;0.94;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;2.0;0.81;0.61;0.76;0.91;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;2.5;0.8;0.99;0.75;0.88;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;3.0;0.79;1.36;0.74;0.84;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;3.5;0.78;1.73;0.72;0.8;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;4.0;0.77;2.09;0.71;0.76;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;4.5;0.76;2.44;0.7;0.72;0.95
cenario01_min16_mx4_res30_q5_ord1;O2;5.0;0.76;2.79;0.7;0.69;0.94
cenario02_min16_mx4_res30_q5_ord2;O2;-5.0;1.47;-8.33;1.69;-0.11;0.85
cenario02_min16_mx4_res30_q5_ord2;O2;-4.5;1.44;-7.48;1.68;-0.08;0.85
cenario02_min16_mx4_res30_q5_ord2;O2;-4.0;1.41;-6.64;1.67;-0.03;0.85
cenario02_min16_mx4_res30_q5_ord2;O2;-3.5;1.38;-5.81;1.65;0.06;0.85
cenario02_min16_mx4_res30_q5_ord2;O2;-3.0;1.33;-5.0;1.61;0.18;0.85
cenario02_min16_mx4_res30_q5_ord2;O2;-2.5;1.28;-4.21;1.54;0.36;0.86
cenario02_min16_mx4_res30_q5_ord2;O2;-2.0;1.23;-3.46;1.44;0.57;0.87
cenario02_min16_mx4_res30_q5_ord2;O2;-1.5;1.18;-2.77;1.33;0.78;0.88
cenario02_min16_mx4_res30_q5_ord2;O2;-1.0;1.13;-2.13;1.22;0.92;0.88
cenario02_min16_mx4_res30_q5_ord2;O2;-0.5;1.1;-1.55;1.14;0.98;0.89
cenario02_min16_mx4_res30_q5_ord2;O2;0.5;1.04;-0.48;1.02;0.99;0.9
cenario02_min16_mx4_res30_q5_ord2;O2;1.0;1.02;0.02;0.98;0.96;0.9
cenario02_min16_mx4_res30_q5_ord2;O2;1.5;1.0;0.5;0.95;0.92;0.9
cenario02_min16_mx4_res30_q5_ord2;O2;2.0;0.98;0.97;0.92;0.87;0.91
cenario02_min16_mx4_res30_q5_ord2;O2;2.5;0.97;1.42;0.89;0.81;0.91
cenario02_min16_mx4_res30_q5_ord2;O2;3.0;0.95;1.86;0.87;0.75;0.91
cenario02_min16_mx4_res30_q5_ord2;O2;3.5;0.94;2.29;0.85;0.7;0.91
cenario02_min16_mx4_res30_q5_ord2;O2;4.0;0.93;2.71;0.84;0.65;0.91
cenario02_min16_mx4_res30_q5_ord2;O2;4.5;0.92;3.13;0.83;0.6;0.91
cenario02_min16_mx4_res30_q5_ord2;O2;5.0;0.91;3.54;0.82;0.58;0.91
cenario03_min16_mx4_res30_q10_ord1;O2;-10.0;1.29;-13.95;1.41;-0.11;0.89
cenario03_min16_mx4_res30_q10_ord1;O2;-9.0;1.28;-12.54;1.41;-0.11;0.89
cenario03_min16_mx4_res30_q10_ord1;O2;-8.0;1.27;-11.14;1.4;-0.1;0.89
cenario03_min16_mx4_res30_q10_ord1;O2;-7.0;1.25;-9.73;1.4;-0.07;0.89
cenario03_min16_mx4_res30_q10_ord1;O2;-6.0;1.22;-8.33;1.39;-0.03;0.89
cenario03_min16_mx4_res30_q10_ord1;O2;-5.0;1.19;-6.94;1.38;0.03;0.89
cenario03_min16_mx4_res30_q10_ord1;O2;-4.0;1.14;-5.57;1.36;0.15;0.9
