Arquivo,Media (s),Desvio Padrao (s),Minimo (s),Maximo (s)
NORB000017,0.2526907600151996,0.009906045484074208,0.23725200002081692,0.2703920000931248
NORB00001,0.2686641200018736,0.01123223521964291,0.24723049998283386,0.3039118000306189
