Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario01_min16_mx4_res30_q5_ord1;O2;16;35700;30;1;0.92;0.8;0.93
cenario02_min16_mx4_res30_q5_ord2;O2;16;35700;30;2;0.87;0.96;0.96
cenario03_min16_mx4_res30_q10_ord1;O2;16;35700;30;1;0.9;0.8;0.94
cenario04_min16_mx4_res30_q10_ord2;O2;16;35700;30;2;0.85;0.96;0.99
cenario05_min16_mx4_res50_q5_ord1;O2;16;35700;50;1;0.92;0.8;0.92
cenario06_min16_mx4_res50_q5_ord2;O2;16;35700;50;2;0.88;0.95;0.96
cenario07_min16_mx4_res50_q10_ord1;O2;16;35700;50;1;0.9;0.8;0.93
cenario08_min16_mx4_res50_q10_ord2;O2;16;35700;50;2;0.86;0.95;0.99
cenario09_min16_mx8_res30_q5_ord1;O2;16;17850;30;1;0.92;0.84;1.01
cenario10_min16_mx8_res30_q5_ord2;O2;16;17850;30;2;0.88;1.02;1.04
cenario11_min16_mx8_res30_q10_ord1;O2;16;17850;30;1;0.9;0.84;1.02
cenario12_min16_mx8_res30_q10_ord2;O2;16;17850;30;2;0.86;1.02;1.07
cenario13_min16_mx8_res50_q5_ord1;O2;16;17850;50;1;0.92;0.83;0.95
cenario14_min16_mx8_res50_q5_ord2;O2;16;17850;50;2;0.87;1.01;1.05
cenario15_min16_mx8_res50_q10_ord1;O2;16;17850;50;1;0.91;0.83;0.97
cenario16_min16_mx8_res50_q10_ord2;O2;16;17850;50;2;0.86;1.01;1.08
cenario17_min16_mx10_res30_q5_ord1;O2;16;14280;30;1;0.92;0.84;1.02
cenario18_min16_mx10_res30_q5_ord2;O2;16;14280;30;2;0.88;1.05;1.11
cenario19_min16_mx10_res30_q10_ord1;O2;16;14280;30;1;0.9;0.84;1.04
cenario20_min16_mx10_res30_q10_ord2;O2;16;14280;30;2;0.87;1.05;1.14
cenario21_min16_mx10_res50_q5_ord1;O2;16;14280;50;1;0.92;0.84;1.03
cenario22_min16_mx10_res50_q5_ord2;O2;16;14280;50;2;0.88;1.04;1.09
cenario23_min16_mx10_res50_q10_ord1;O2;16;14280;50;1;0.91;0.84;1.04
cenario24_min16_mx10_res50_q10_ord2;O2;16;14280;50;2;0.86;1.04;1.12
cenario25_min32_mx4_res30_q5_ord1;O2;32;35700;30;1;0.95;0.72;0.78
cenario26_min32_mx4_res30_q5_ord2;O2;32;35700;30;2;0.9;0.82;0.86
cenario27_min32_mx4_res30_q10_ord1;O2;32;35700;30;1;0.93;0.72;0.82
cenario28_min32_mx4_res30_q10_ord2;O2;32;35700;30;2;0.88;0.82;0.9
cenario29_min32_mx4_res50_q5_ord1;O2;32;35700;50;1;0.95;0.72;0.79
cenario30_min32_mx4_res50_q5_ord2;O2;32;35700;50;2;0.91;0.81;0.84
cenario31_min32_mx4_res50_q10_ord1;O2;32;35700;50;1;0.93;0.72;0.82
cenario32_min32_mx4_res50_q10_ord2;O2;32;35700;50;2;0.89;0.81;0.89
cenario33_min32_mx8_res30_q5_ord1;O2;32;17850;30;1;0.94;0.74;0.9
cenario34_min32_mx8_res30_q5_ord2;O2;32;17850;30;2;0.9;0.86;0.84
