Execucao,NORB000017,NORB00001
1,0.25147999997716397,0.26842830004170537
2,0.2592445000773296,0.2685658000409603
3,0.26923630002420396,0.2777148000895977
4,0.26538160000927746,0.2722946999128908
5,0.25614880002103746,0.3039118000306189
6,0.25183449999894947,0.2784311999566853
7,0.23725200002081692,0.2698711999692023
8,0.24142499989829957,0.2555933999828994
9,0.23818940005730838,0.252695000031963
10,0.2527964999899268,0.25789739994797856
11,0.2515067000640556,0.2570388000458479
12,0.2612724000355229,0.2645045999670401
13,0.25611319998279214,0.271518100053072
14,0.2638947000959888,0.26661480008624494
15,0.25736970000434667,0.27339590003248304
16,0.2593005000380799,0.26996649999637157
17,0.2703920000931248,0.26783449994400144
18,0.26213749998714775,0.2824160000309348
19,0.2409957000054419,0.28514689998701215
20,0.24260100000537932,0.2780090000014752
21,0.23899980005808175,0.24723049998283386
22,0.2384953999426216,0.2562928000697866
23,0.23736729996744543,0.2546524000354111
24,0.24211240001022816,0.2562241000123322
25,0.2621724000200629,0.26852419995702803
26,0.2469416999956593,0.264679400017485
27,0.25792030000593513,0.26875309995375574
28,0.2567693000892177,0.2733392999507487
29,0.25997769995592535,0.27210940001532435
30,0.2513945000246167,0.27626969991251826
