Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario01_min16_mx4_res30_q5_ord1;O2;-5.0;0.96;-5.82;1.05;0.58;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-4.5;0.95;-5.3;1.04;0.62;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-4.0;0.95;-4.78;1.02;0.69;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-3.5;0.94;-4.27;1.0;0.76;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-3.0;0.93;-3.78;0.98;0.82;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-2.5;0.92;-3.29;0.96;0.88;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-2.0;0.91;-2.81;0.95;0.92;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-1.5;0.9;-2.34;0.93;0.96;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-1.0;0.89;-1.89;0.91;0.98;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;-0.5;0.88;-1.44;0.89;1.0;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;0.5;0.86;-0.57;0.85;1.0;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;1.0;0.85;-0.15;0.83;0.98;0.98
cenario01_min16_mx4_res30_q5_ord1;O2;1.5;0.84;0.26;0.81;0.96;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;2.0;0.83;0.66;0.79;0.93;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;2.5;0.82;1.05;0.77;0.89;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;3.0;0.81;1.43;0.76;0.84;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;3.5;0.8;1.8;0.74;0.79;0.97
cenario01_min16_mx4_res30_q5_ord1;O2;4.0;0.79;2.17;0.73;0.74;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;4.5;0.78;2.53;0.71;0.68;0.96
cenario01_min16_mx4_res30_q5_ord1;O2;5.0;0.78;2.88;0.71;0.65;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;-5.0;1.02;-6.11;1.1;0.61;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;-4.5;1.01;-5.56;1.09;0.65;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;-4.0;1.0;-5.02;1.07;0.73;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;-3.5;1.0;-4.48;1.05;0.8;0.98
cenario02_min16_mx4_res30_q5_ord2;O2;-3.0;0.99;-3.96;1.03;0.86;0.98
cenario02_min16_mx4_res30_q5_ord2;O2;-2.5;0.98;-3.45;1.02;0.91;0.98
cenario02_min16_mx4_res30_q5_ord2;O2;-2.0;0.97;-2.95;1.0;0.94;0.98
cenario02_min16_mx4_res30_q5_ord2;O2;-1.5;0.97;-2.45;0.99;0.97;0.98
cenario02_min16_mx4_res30_q5_ord2;O2;-1.0;0.96;-1.96;0.97;0.99;0.98
cenario02_min16_mx4_res30_q5_ord2;O2;-0.5;0.95;-1.48;0.96;1.0;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;0.5;0.94;-0.53;0.94;1.0;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;1.0;0.94;-0.06;0.92;0.99;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;1.5;0.93;0.39;0.91;0.97;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;2.0;0.92;0.85;0.9;0.95;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;2.5;0.92;1.29;0.89;0.92;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;3.0;0.91;1.73;0.87;0.89;0.97
cenario02_min16_mx4_res30_q5_ord2;O2;3.5;0.9;2.17;0.86;0.85;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;4.0;0.9;2.59;0.85;0.81;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;4.5;0.89;3.02;0.84;0.76;0.96
cenario02_min16_mx4_res30_q5_ord2;O2;5.0;0.89;3.43;0.83;0.73;0.96
cenario03_min16_mx4_res30_q10_ord1;O2;-10.0;1.03;-11.3;1.12;0.15;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-9.0;1.02;-10.19;1.11;0.17;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-8.0;1.01;-9.08;1.11;0.23;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-7.0;1.0;-7.98;1.09;0.31;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-6.0;0.98;-6.89;1.08;0.42;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-5.0;0.96;-5.82;1.05;0.55;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-4.0;0.95;-4.78;1.02;0.69;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-3.0;0.93;-3.78;0.98;0.82;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-2.0;0.91;-2.81;0.95;0.92;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;-1.0;0.89;-1.89;0.91;0.98;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;1.0;0.85;-0.15;0.83;0.98;0.98
cenario03_min16_mx4_res30_q10_ord1;O2;2.0;0.83;0.66;0.79;0.93;0.97
cenario03_min16_mx4_res30_q10_ord1;O2;3.0;0.81;1.43;0.76;0.84;0.97
cenario03_min16_mx4_res30_q10_ord1;O2;4.0;0.79;2.17;0.73;0.74;0.96
cenario03_min16_mx4_res30_q10_ord1;O2;5.0;0.78;2.88;0.7;0.63;0.96
cenario03_min16_mx4_res30_q10_ord1;O2;6.0;0.76;3.57;0.68;0.52;0.96
cenario03_min16_mx4_res30_q10_ord1;O2;7.0;0.75;4.25;0.67;0.44;0.96
cenario03_min16_mx4_res30_q10_ord1;O2;8.0;0.74;4.91;0.66;0.37;0.95
cenario03_min16_mx4_res30_q10_ord1;O2;9.0;0.73;5.57;0.65;0.31;0.95
cenario03_min16_mx4_res30_q10_ord1;O2;10.0;0.72;6.22;0.65;0.29;0.95
cenario04_min16_mx4_res30_q10_ord2;O2;-10.0;1.09;-11.87;1.17;0.16;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-9.0;1.08;-10.7;1.17;0.18;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-8.0;1.07;-9.53;1.16;0.24;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-7.0;1.05;-8.37;1.15;0.32;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-6.0;1.04;-7.23;1.13;0.43;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-5.0;1.02;-6.11;1.11;0.57;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-4.0;1.0;-5.02;1.07;0.73;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;-3.0;0.99;-3.96;1.03;0.86;0.98
cenario04_min16_mx4_res30_q10_ord2;O2;-2.0;0.97;-2.95;1.0;0.94;0.98
cenario04_min16_mx4_res30_q10_ord2;O2;-1.0;0.96;-1.96;0.97;0.99;0.98
cenario04_min16_mx4_res30_q10_ord2;O2;1.0;0.94;-0.06;0.92;0.99;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;2.0;0.92;0.85;0.9;0.95;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;3.0;0.91;1.73;0.87;0.89;0.97
cenario04_min16_mx4_res30_q10_ord2;O2;4.0;0.9;2.59;0.85;0.81;0.96
cenario04_min16_mx4_res30_q10_ord2;O2;5.0;0.89;3.43;0.83;0.71;0.96
cenario04_min16_mx4_res30_q10_ord2;O2;6.0;0.87;4.25;0.81;0.6;0.96
cenario04_min16_mx4_res30_q10_ord2;O2;7.0;0.86;5.05;0.79;0.5;0.95
cenario04_min16_mx4_res30_q10_ord2;O2;8.0;0.85;5.83;0.78;0.41;0.95
cenario04_min16_mx4_res30_q10_ord2;O2;9.0;0.85;6.61;0.77;0.33;0.95
cenario04_min16_mx4_res30_q10_ord2;O2;10.0;0.84;7.38;0.77;0.3;0.95
cenario05_min16_mx4_res50_q5_ord1;O2;-5.0;0.95;-5.76;1.02;0.64;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-4.5;0.94;-5.25;1.02;0.67;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-4.0;0.94;-4.74;1.0;0.73;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-3.5;0.93;-4.24;0.99;0.79;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-3.0;0.92;-3.75;0.97;0.85;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-2.5;0.91;-3.27;0.95;0.89;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-2.0;0.9;-2.8;0.94;0.93;0.98
cenario05_min16_mx4_res50_q5_ord1;O2;-1.5;0.89;-2.34;0.92;0.96;0.98
